Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Position
Marcus Smart,MEM,30,18,11,7,21.2,9.2,2.9,7.9,37.3,1.6,4.8,33.3,1.7,2.0,83.3,0.8,1.6,2.3,3.8,1.9,1.3,0.3,1.7,20.7,0,0,4.6,Guard
Jalen Wilson,BKN,24,31,11,20,26.3,9.1,3.0,7.6,39.7,1.5,4.3,33.8,1.6,1.9,84.7,0.9,2.4,3.4,1.9,1.0,0.5,0.0,2.3,16.6,0,0,-2.4,Forward
Al Horford,BOS,38,25,17,8,27.9,9.1,3.3,7.6,43.5,2.1,5.5,38.0,0.4,0.5,83.3,0.9,4.4,5.3,2.2,0.9,0.6,0.9,1.7,22.4,1,0,6.2,Center-Forward
Trentyn Flowers,LAC,19,1,0,1,14.4,9.0,4.0,9.0,44.4,0.0,2.0,0.0,1.0,1.0,100.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,3.0,12.8,0,0,11.0,Forward
Carlton Carrington,WAS,19,30,5,25,29.8,9.0,3.4,8.4,39.9,1.5,4.4,33.8,0.7,0.9,81.5,0.3,4.0,4.3,3.9,1.9,0.8,0.2,3.0,21.2,2,0,-11.2,Guard
Aaron Wiggins,OKC,25,31,26,5,20.0,8.9,3.5,7.7,45.0,1.4,3.7,37.7,0.6,0.8,83.3,0.9,2.3,3.2,1.3,0.8,0.9,0.3,1.2,17.4,0,0,5.5,Guard
Julian Strawther,DEN,22,31,18,13,20.5,8.9,3.1,6.9,45.5,1.3,3.5,36.7,1.4,1.6,84.3,0.3,1.7,2.1,1.3,0.8,0.7,0.4,2.4,15.6,0,0,-3.8,Guard
Garrison Mathews,ATL,28,24,12,12,18.5,8.9,2.5,5.6,44.8,2.2,4.8,46.1,1.7,2.0,83.7,0.2,1.1,1.3,1.5,0.6,0.7,0.3,1.8,15.1,0,0,-1.9,Guard
Noah Clowney,BKN,20,23,8,15,20.0,8.9,3.0,7.1,41.5,2.0,5.0,39.1,1.0,1.3,79.3,0.9,2.7,3.7,0.7,0.9,0.3,0.5,2.8,16.0,0,0,-4.5,Forward-Center
Peyton Watson,DEN,22,31,18,13,24.0,8.8,3.2,6.5,49.5,0.7,2.1,35.4,1.6,2.1,78.1,1.0,2.4,3.3,1.4,0.8,0.8,0.9,2.0,19.3,0,0,-0.7,Guard
Tristan da Silva,ORL,23,30,18,12,25.3,8.8,3.3,7.7,43.1,1.3,3.8,33.9,0.8,1.1,78.1,1.0,2.6,3.6,1.7,1.0,0.4,0.2,1.5,16.4,0,0,0.8,Forward
Jusuf Nurkić,PHX,30,23,12,11,24.3,8.8,3.0,6.7,45.2,0.7,2.4,30.4,2.0,2.8,69.2,1.9,7.6,9.5,1.9,2.3,1.0,0.7,3.0,25.5,8,0,-2.3,Center
Toumani Camara,POR,24,30,10,20,30.5,8.7,3.3,7.8,41.9,1.5,4.2,34.6,0.7,1.0,73.3,2.2,3.4,5.6,1.9,1.5,1.3,0.5,2.8,22.2,0,0,-6.2,Forward
Kentavious Caldwell-Pope,ORL,31,33,19,14,30.9,8.7,2.9,7.5,39.3,1.4,4.8,28.9,1.4,1.5,92.2,0.3,1.7,2.0,2.0,0.8,1.6,0.6,2.1,20.2,0,0,3.4,Guard
Dereck Lively II,DAL,20,25,17,8,24.1,8.7,3.6,5.2,69.8,0.0,0.0,0.0,1.5,2.4,61.7,3.1,4.7,7.8,2.5,1.3,0.6,1.6,2.9,27.2,5,0,5.6,Center
Trayce Jackson-Davis,GSW,24,31,15,16,18.7,8.7,3.8,6.2,60.6,0.0,0.0,0.0,1.1,1.7,64.8,2.1,3.7,5.9,2.1,0.8,0.4,0.9,1.3,21.8,3,0,-1.4,Forward
Ja'Kobe Walter,TOR,20,17,4,13,20.2,8.6,3.2,7.9,40.3,1.1,3.7,28.6,1.2,1.7,72.4,0.9,1.9,2.8,1.5,1.0,0.6,0.3,2.3,16.0,1,0,-3.0,Guard
Spencer Dinwiddie,DAL,31,30,19,11,22.2,8.6,2.5,6.7,37.6,1.2,3.8,32.7,2.3,2.6,88.6,0.2,1.9,2.1,3.3,0.8,0.9,0.3,1.5,18.6,0,0,1.4,Guard
Nikola Jović,MIA,21,21,11,10,20.1,8.6,2.8,6.2,44.6,1.2,3.2,38.2,1.9,2.3,81.3,0.5,3.0,3.6,1.7,0.7,0.9,0.1,1.5,17.6,0,0,1.9,Forward
Ziaire Williams,BKN,23,21,9,12,21.8,8.6,3.0,7.6,40.3,0.9,3.1,27.3,1.7,2.1,79.5,1.0,3.3,4.4,1.1,0.9,1.0,0.3,2.7,18.5,1,0,-3.2,Forward
Jaime Jaquez Jr.,MIA,23,26,15,11,21.6,8.6,3.2,7.6,41.6,0.5,2.1,25.5,1.8,2.3,75.4,1.3,3.4,4.7,2.1,1.5,1.1,0.1,1.6,19.6,1,0,-3.0,Guard
Svi Mykhailiuk,UTA,27,9,2,7,16.8,8.6,3.0,6.8,44.3,2.1,5.2,40.4,0.4,0.7,66.7,0.1,1.4,1.6,1.4,1.6,0.9,0.2,1.0,14.4,0,0,1.8,Guard-Forward
Anthony Black,ORL,20,33,19,14,24.0,8.5,3.0,7.2,41.2,0.6,2.4,26.6,1.9,2.6,75.3,0.6,2.1,2.7,3.5,2.2,0.9,0.7,2.3,19.6,0,0,-0.1,Guard
Draymond Green,GSW,34,28,14,14,28.5,8.5,2.9,7.0,41.1,1.4,3.8,37.7,1.3,2.1,60.0,1.1,5.3,6.3,5.6,2.5,1.1,1.1,3.2,28.6,2,0,2.4,Forward
Cody Martin,CHA,29,30,7,23,26.0,8.5,3.2,7.4,43.9,1.1,3.6,31.2,0.9,1.2,70.3,1.1,3.6,4.7,2.3,1.1,1.2,0.7,2.0,21.9,0,0,-2.3,Forward
Georges Niang,CLE,31,32,28,4,20.7,8.4,3.2,6.9,46.8,1.7,4.4,37.3,0.3,0.4,78.6,0.7,3.3,4.0,1.5,1.0,0.4,0.2,2.3,16.1,0,0,6.8,Forward
Jaylen Nowell,NOP,25,8,1,7,21.0,8.4,3.3,9.1,35.6,1.0,3.4,29.6,0.9,1.4,63.6,0.8,1.8,2.5,2.3,1.0,0.1,0.5,1.1,15.6,0,0,-5.3,Guard
Cam Whitmore,HOU,20,14,9,5,12.4,8.4,3.2,7.4,43.3,0.7,3.1,22.7,1.2,1.7,70.8,0.7,1.7,2.4,0.5,0.6,0.4,0.1,0.8,13.0,0,0,0.6,Forward
Trendon Watford,BKN,24,13,5,8,16.0,8.3,2.7,6.1,44.3,0.6,2.0,30.8,2.3,2.7,85.7,0.3,2.5,2.8,1.2,1.2,0.4,0.3,2.3,14.2,0,0,-4.0,Guard-Forward
Isaiah Joe,OKC,25,29,25,4,20.7,8.3,2.9,7.5,38.7,2.1,5.9,35.1,0.4,0.6,70.6,0.5,2.2,2.7,1.4,0.5,0.7,0.2,1.6,15.9,0,0,6.6,Guard
Jake LaRavia,MEM,23,33,22,11,22.1,8.2,2.9,5.9,49.0,1.0,2.2,44.4,1.5,2.1,70.6,1.5,3.0,4.5,3.2,1.7,0.9,0.5,2.2,21.0,1,0,4.5,Forward
Bones Hyland,LAC,24,12,5,7,11.4,8.2,2.5,6.1,41.1,1.9,4.3,44.2,1.3,1.5,83.3,0.3,0.8,1.1,1.2,1.3,0.9,0.3,1.3,13.7,0,0,-3.9,Guard
Mike Conley,MIN,37,27,17,10,25.3,8.1,2.5,7.3,34.5,1.8,5.1,35.5,1.2,1.3,91.7,0.5,2.3,2.8,4.4,1.2,1.4,0.2,1.7,21.9,1,0,1.2,Guard
Jalen Smith,CHI,24,29,13,16,15.4,8.0,2.9,6.1,47.2,1.1,3.2,34.0,1.2,1.5,79.1,1.4,4.1,5.5,0.8,0.6,0.3,0.7,1.6,18.4,1,0,-0.2,Forward-Center
Brandin Podziemski,GSW,21,30,15,15,24.2,8.0,3.1,7.7,40.4,1.0,3.5,29.5,0.7,1.0,73.3,1.0,3.5,4.5,3.2,1.0,1.0,0.2,1.5,20.8,0,0,1.1,Guard
Brice Sensabaugh,UTA,21,25,4,21,16.9,8.0,2.8,6.2,45.2,1.5,3.9,39.2,0.8,0.9,91.3,0.6,2.0,2.6,1.3,1.4,0.6,0.1,1.2,13.7,0,0,-6.2,Forward
Luke Kennard,MEM,28,21,14,7,20.2,7.9,2.5,5.9,43.1,1.9,4.3,44.4,0.9,1.1,82.6,0.5,2.0,2.4,2.9,1.0,0.6,0.1,0.7,16.2,0,0,4.0,Guard
Moses Moody,GSW,22,26,14,12,15.9,7.8,2.7,6.2,43.5,1.3,3.7,36.8,1.1,1.5,74.4,0.4,1.4,1.8,0.8,0.8,0.4,0.2,1.2,12.5,0,0,-0.2,Guard
Vasilije Micić,CHA,30,21,2,19,22.0,7.8,2.8,8.2,34.3,1.4,3.9,35.8,0.8,1.0,80.0,0.7,1.8,2.5,3.8,2.1,0.6,0.0,1.2,16.2,1,0,-4.6,Guard
Sam Hauser,BOS,27,25,17,8,21.6,7.8,2.8,6.6,42.8,2.0,5.5,36.2,0.1,0.1,100.0,0.8,2.4,3.2,1.2,0.3,0.8,0.2,1.2,16.1,0,0,4.8,Forward
AJ Green,MIL,25,29,16,13,21.8,7.7,2.6,5.8,44.9,2.2,5.1,43.9,0.3,0.3,88.9,0.2,2.1,2.3,1.3,0.7,0.5,0.1,1.9,13.7,0,0,2.1,Guard
Ausar Thompson,DET,21,12,6,6,17.4,7.6,3.3,6.7,48.8,0.3,1.3,25.0,0.8,1.5,50.0,1.4,2.8,4.2,1.8,1.3,0.9,0.3,2.8,17.8,0,0,-2.0,Guard-Forward
Kelly Olynyk,TOR,33,9,0,9,16.6,7.6,2.4,5.8,42.3,1.0,2.2,45.0,1.7,2.0,83.3,1.1,3.8,4.9,2.6,2.1,1.0,0.2,3.0,18.8,0,0,-2.6,Forward-Center
DaQuan Jeffries,CHA,27,8,1,7,19.0,7.5,3.0,5.6,53.3,1.1,2.5,45.0,0.4,0.5,75.0,0.8,2.1,2.9,0.6,0.8,0.6,0.6,1.8,14.9,0,0,-5.0,Guard-Forward
Robert Williams III,POR,27,10,3,7,17.1,7.5,3.1,4.2,73.8,0.1,0.2,50.0,1.2,1.3,92.3,1.8,3.5,5.3,1.2,0.8,0.8,1.4,0.9,21.5,0,0,-2.4,Center-Forward
Josh Green,CHA,24,30,6,24,28.7,7.5,2.7,6.3,42.1,1.5,3.6,42.1,0.6,1.1,59.4,1.1,1.6,2.7,1.5,1.0,0.9,0.4,3.1,15.8,0,0,-4.9,Guard
Taurean Prince,MIL,30,30,16,14,26.0,7.5,2.7,5.9,44.9,1.7,3.7,46.4,0.4,0.6,76.5,0.6,3.4,4.0,1.7,1.2,0.8,0.2,2.0,16.6,1,0,-2.1,Forward
Tyrese Martin,BKN,25,16,5,11,16.6,7.4,2.6,5.8,45.7,1.6,3.9,39.7,0.6,0.7,81.8,0.9,2.4,3.3,1.3,0.8,0.4,0.2,1.2,14.2,0,0,-4.4,Forward
Shake Milton,LAL,28,27,10,17,18.2,7.4,2.7,5.8,46.5,1.0,2.7,38.9,0.9,1.2,75.8,0.6,1.3,1.9,2.4,0.7,0.6,0.0,1.6,14.2,1,0,-2.5,Guard
Wendell Carter Jr.,ORL,25,21,11,10,24.7,7.3,2.6,5.5,46.6,0.3,1.9,17.5,1.9,2.6,70.9,1.6,5.5,7.1,2.2,0.8,0.7,0.6,2.5,22.3,2,0,3.1,Center-Forward
Brandon Clarke,MEM,28,31,22,9,18.4,7.3,3.3,5.5,60.6,0.0,0.5,6.3,0.6,1.0,61.3,1.7,3.4,5.1,1.0,0.5,0.8,0.5,2.2,18.2,0,0,5.3,Forward
Sam Merrill,CLE,28,28,24,4,19.6,7.3,2.4,6.1,39.0,1.9,5.4,35.3,0.6,0.6,94.4,0.4,1.5,1.9,1.6,0.5,0.6,0.3,2.0,14.1,0,0,4.2,Guard
Kyshawn George,WAS,21,25,4,21,25.9,7.2,2.5,7.5,33.5,1.3,5.0,25.6,0.9,1.3,71.9,0.7,3.3,4.0,2.3,1.1,0.7,0.7,2.9,18.6,0,0,-5.7,Forward
Keon Johnson,BKN,22,30,12,18,19.5,7.2,2.7,7.5,36.2,1.3,4.4,28.6,0.5,0.7,72.7,0.6,2.5,3.1,1.2,1.1,0.7,0.3,2.5,14.7,0,0,-3.6,Guard
Max Christie,LAL,21,30,17,13,21.8,7.2,2.2,5.1,43.8,0.9,2.5,36.0,1.8,2.1,87.3,0.7,1.6,2.3,1.2,0.7,0.9,0.4,1.6,14.9,0,0,-2.5,Guard
Haywood Highsmith,MIA,28,28,15,13,24.9,7.1,2.6,5.4,49.3,1.4,3.1,44.3,0.5,0.7,68.4,0.9,2.4,3.3,1.0,0.9,1.0,0.6,2.1,16.7,0,0,0.5,Forward
Cameron Payne,NYK,30,27,21,6,15.1,7.0,2.6,5.9,43.8,1.5,3.7,40.0,0.4,0.4,83.3,0.3,1.3,1.6,2.6,0.6,0.6,0.3,1.8,14.8,0,0,2.5,Guard
Isaiah Jackson,IND,22,5,1,4,16.8,7.0,2.8,4.6,60.9,0.0,0.0,0.0,1.4,2.8,50.0,2.2,3.4,5.6,1.0,1.0,0.6,1.6,2.8,20.8,0,0,2.0,Forward
Kris Dunn,LAC,30,32,19,13,23.8,7.0,2.8,6.4,44.4,1.1,3.3,33.3,0.2,0.4,50.0,0.8,2.8,3.6,2.8,1.2,1.8,0.3,2.5,20.5,0,0,4.4,Guard
Johnny Juzang,UTA,23,27,7,20,16.9,7.0,2.4,5.7,41.8,1.6,4.1,40.0,0.6,0.7,84.2,0.6,1.9,2.4,1.0,0.5,0.4,0.1,1.7,12.4,0,0,-3.8,Guard
Andre Drummond,PHI,31,24,9,15,19.3,6.9,2.8,5.6,50.0,0.0,0.4,11.1,1.3,2.3,57.4,2.8,5.3,8.0,0.5,1.7,1.3,0.4,2.5,20.7,3,0,-4.8,Center
Torrey Craig,CHI,34,9,3,6,12.5,6.9,2.4,5.0,48.9,1.7,3.9,42.9,0.3,0.4,75.0,0.9,1.9,2.8,0.6,0.0,0.2,0.1,1.7,12.1,0,0,-3.1,Forward
Jeremiah Robinson-Earl,NOP,24,29,5,24,19.4,6.8,2.6,5.8,44.0,0.8,2.6,30.7,0.9,1.0,86.2,2.0,2.8,4.8,1.2,0.8,0.8,0.1,1.3,16.1,2,0,-4.5,Forward
Elfrid Payton,NOP,30,7,0,7,20.5,6.7,3.3,6.6,50.0,0.0,0.1,0.0,0.1,0.3,50.0,0.7,2.7,3.4,6.9,2.9,1.4,0.4,1.4,23.8,1,0,-1.6,Guard
Josh Okogie,PHX,26,19,6,13,15.0,6.6,2.5,5.2,48.0,0.7,1.8,40.0,0.9,1.4,66.7,1.5,1.7,3.2,0.5,0.8,1.0,0.4,1.0,14.6,0,0,-1.4,Guard
Alec Burks,MIA,33,16,10,6,17.1,6.6,2.1,4.6,45.2,1.5,3.3,46.2,1.0,1.3,80.0,0.4,1.7,2.1,1.1,0.3,0.7,0.3,0.8,13.3,0,0,4.7,Guard
Davion Mitchell,TOR,26,29,7,22,26.3,6.6,2.5,6.2,40.0,0.9,3.0,30.7,0.7,1.1,67.7,0.5,1.6,2.1,5.0,1.9,0.8,0.2,2.8,17.9,1,0,-3.1,Guard
Isaac Okoro,CLE,23,23,21,2,21.0,6.6,2.3,4.7,49.5,1.3,2.7,49.2,0.7,0.9,71.4,0.9,1.3,2.3,1.7,0.4,0.7,0.4,2.0,15.0,0,0,4.5,Forward-Guard
Cason Wallace,OKC,21,30,25,5,26.7,6.5,2.7,6.4,42.4,0.9,3.1,30.4,0.2,0.2,85.7,1.2,2.3,3.4,2.2,0.6,1.7,0.8,2.1,20.7,0,0,5.0,Guard
Kenrich Williams,OKC,30,21,18,3,13.4,6.5,2.5,4.4,57.0,1.0,2.2,42.6,0.5,0.5,100.0,0.9,2.4,3.3,1.1,0.3,0.7,0.2,1.7,14.3,0,0,5.5,Guard-Forward
Jaden Hardy,DAL,22,24,16,8,14.1,6.5,2.3,5.9,39.7,0.9,2.8,31.8,0.9,1.0,88.0,0.2,1.3,1.4,1.2,1.3,0.6,0.0,1.3,10.5,0,0,-0.5,Guard
Day'Ron Sharpe,BKN,23,11,3,8,15.1,6.5,2.5,6.0,40.9,0.2,1.2,15.4,1.4,1.5,88.2,2.5,2.9,5.4,0.8,1.0,0.9,0.5,1.6,17.5,0,0,0.0,Center
Keon Ellis,SAC,24,30,12,18,19.7,6.4,2.1,4.4,47.7,1.3,3.1,42.6,0.9,1.1,84.4,0.7,1.4,2.2,1.1,0.8,1.1,0.8,1.8,15.7,0,0,2.8,Guard
Simone Fontecchio,DET,29,30,13,17,17.9,6.4,2.1,5.1,40.5,1.2,3.4,34.7,1.1,1.4,82.9,0.6,2.2,2.8,0.9,0.8,0.3,0.2,1.3,11.9,0,0,-0.5,Forward
KJ Martin,PHI,23,24,9,15,20.0,6.4,2.5,4.1,61.6,0.3,0.9,38.1,1.0,1.2,82.8,0.9,2.1,3.0,0.8,0.5,0.5,0.7,2.6,14.1,0,0,1.2,Forward
Jaxson Hayes,LAL,24,11,6,5,17.4,6.4,2.4,3.3,72.2,0.0,0.0,0.0,1.6,2.1,78.3,1.9,2.6,4.5,0.8,0.7,0.4,0.8,2.5,15.9,0,0,-1.0,Center-Forward
Ronald Holland II,DET,19,32,14,18,15.8,6.3,2.5,5.3,47.6,0.4,1.9,21.7,0.9,1.1,77.8,0.5,2.5,3.0,0.7,0.9,0.5,0.2,1.6,11.9,0,0,-1.2,Forward
Talen Horton-Tucker,CHI,24,27,9,18,12.5,6.3,2.3,4.9,46.6,0.8,2.2,36.7,0.9,1.4,67.6,0.4,1.6,2.0,1.6,0.6,0.4,0.3,1.1,12.7,0,0,1.2,Guard
Ajay Mitchell,OKC,22,31,26,5,16.3,6.3,2.5,4.8,51.3,0.7,1.5,46.7,0.7,0.8,80.8,0.5,1.5,2.0,1.7,0.8,0.8,0.1,1.7,13.1,1,0,4.0,Guard
Dru Smith,MIA,27,14,8,6,19.2,6.3,2.2,4.4,50.8,1.1,2.1,53.3,0.7,0.9,76.9,0.9,1.7,2.6,1.6,1.2,1.5,0.4,2.1,16.4,0,0,2.7,Guard
Terance Mann,LAC,28,23,14,9,21.0,6.3,2.4,5.6,43.8,0.7,2.0,34.0,0.7,1.0,66.7,1.0,2.0,3.1,1.7,0.6,1.0,0.2,2.0,15.5,0,0,-2.1,Guard-Forward
Ryan Dunn,PHX,21,27,14,13,18.2,6.2,2.4,5.7,42.6,1.1,3.6,29.9,0.3,0.5,50.0,0.7,2.0,2.7,0.8,0.5,0.6,0.7,2.3,13.8,0,0,-1.4,Forward
Cole Anthony,ORL,24,31,19,12,11.8,6.2,2.2,5.6,38.9,0.7,2.4,30.1,1.1,1.4,79.1,0.4,1.8,2.2,2.3,1.5,0.4,0.2,1.6,12.3,0,0,1.1,Guard
Jarace Walker,IND,21,33,16,17,17.9,6.2,2.2,5.0,44.5,1.0,2.7,38.2,0.7,1.2,61.5,0.4,3.0,3.4,1.5,1.3,1.0,0.3,1.6,15.1,0,0,-3.6,Forward
Marcus Sasser,DET,24,21,7,14,13.5,6.1,2.5,4.7,53.1,0.9,2.2,40.4,0.3,0.3,100.0,0.4,0.6,1.0,1.8,0.9,0.9,0.1,1.1,12.3,0,0,-0.4,Guard
Trey Lyles,SAC,29,22,8,14,19.9,6.1,2.0,5.4,37.3,1.3,3.8,34.5,0.8,1.1,75.0,1.0,3.1,4.1,0.8,0.5,0.5,0.5,1.4,14.7,1,0,-0.6,Forward
Dean Wade,CLE,28,23,22,1,22.4,6.1,2.0,5.0,40.5,1.6,4.3,36.4,0.5,1.0,47.8,0.9,4.2,5.1,1.5,0.3,1.0,0.5,1.5,18.9,1,0,6.8,Forward-Center
Jamison Battle,TOR,23,29,7,22,13.8,6.1,2.1,4.5,47.7,1.4,3.3,42.7,0.4,0.5,85.7,0.6,1.4,1.9,1.0,0.4,0.1,0.1,1.2,10.3,0,0,-2.2,Forward
Isaiah Wong,CHA,23,10,1,9,14.3,6.1,2.0,5.6,35.7,0.4,1.7,23.5,1.7,2.6,65.4,1.2,1.0,2.2,1.8,1.0,0.6,0.0,1.1,12.2,0,0,-1.0,Guard
Kyle Filipowski,UTA,21,21,3,18,16.8,6.0,2.2,4.4,51.1,0.6,1.7,34.3,1.0,1.8,56.8,0.9,3.3,4.2,1.8,1.0,0.6,0.1,1.9,14.8,0,0,-4.9,Center
Ben Simmons,BKN,28,25,10,15,25.1,6.0,2.7,4.8,56.2,0.0,0.0,0.0,0.6,0.8,71.4,0.9,4.4,5.4,6.9,2.9,0.8,0.5,2.3,23.9,1,0,-1.9,Guard-Forward
Javonte Green,NOP,31,31,5,26,21.3,6.0,2.2,4.7,46.2,0.7,1.9,35.0,1.0,1.4,74.4,1.0,2.2,3.2,0.7,0.6,1.0,0.6,1.5,15.1,0,0,-7.7,Guard
James Wiseman,IND,23,1,1,0,4.6,6.0,2.0,4.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.2,0,0,-4.0,Center
Quenton Jackson,IND,26,17,7,10,14.8,6.0,2.3,4.5,51.3,0.5,1.4,37.5,0.9,1.2,71.4,0.6,1.0,1.6,1.8,0.6,0.5,0.3,1.9,12.5,0,0,-2.6,Guard
Kevin Love,MIA,36,16,10,6,11.4,5.9,2.0,5.7,35.2,1.1,3.1,36.0,0.8,1.2,68.4,1.1,3.4,4.5,1.2,0.8,0.8,0.1,0.9,15.1,0,0,-0.3,Forward-Center
Jordan Miller,LAC,24,19,10,9,14.2,5.9,2.3,5.4,43.1,0.4,1.6,23.3,0.9,1.2,77.3,0.9,0.9,1.8,1.1,0.8,0.3,0.2,1.0,10.3,0,0,-1.9,Guard
Isaiah Stewart,DET,23,28,11,17,21.3,5.9,2.3,4.3,54.6,0.2,0.8,26.1,1.0,1.2,87.9,2.1,3.8,5.9,1.8,1.0,0.5,1.2,2.8,19.6,2,0,-1.8,Forward-Center
Malaki Branham,SAS,21,21,10,11,12.1,5.8,2.1,4.8,43.6,0.8,2.1,38.6,0.8,1.0,85.0,0.1,1.3,1.4,1.2,1.2,0.3,0.1,0.7,9.4,0,0,-4.1,Forward
Jonathan Isaac,ORL,27,28,17,11,16.7,5.8,2.1,5.2,40.4,0.7,2.6,26.0,0.9,1.3,66.7,1.7,3.0,4.7,0.4,0.5,0.9,1.3,1.4,17.7,0,0,-2.3,Forward
Donovan Clingan,POR,20,24,10,14,16.2,5.7,2.4,4.5,52.8,0.2,0.7,31.3,0.8,1.0,75.0,2.9,3.5,6.3,0.5,1.2,0.5,1.7,2.8,19.5,1,0,-2.4,Center
Jared Butler,WAS,24,21,2,19,10.7,5.6,2.2,4.9,45.6,0.3,1.2,28.0,0.8,1.1,73.9,0.3,0.7,1.0,2.4,0.9,0.3,0.1,1.1,10.8,0,0,-1.8,Guard
Zach Collins,SAS,27,25,12,13,13.9,5.6,2.0,4.2,47.2,0.5,1.5,32.4,1.1,1.3,87.5,1.1,2.1,3.2,1.7,0.9,0.4,0.5,2.2,13.8,0,0,-2.6,Forward-Center
Ben Sheppard,IND,23,19,10,9,19.9,5.6,2.1,5.0,42.1,1.4,3.5,38.8,0.0,0.0,0.0,0.5,1.7,2.3,1.1,0.4,0.4,0.3,2.5,11.5,0,0,-3.0,Guard
Alex Caruso,OKC,30,20,17,3,19.9,5.5,2.2,5.7,37.7,0.9,3.3,26.2,0.4,0.5,77.8,0.6,2.3,2.9,2.5,0.8,1.9,0.6,2.0,19.4,0,0,5.2,Guard
Trevelin Queen,ORL,27,8,4,4,15.9,5.5,2.0,3.9,51.6,1.0,2.0,50.0,0.5,0.5,100.0,0.3,0.8,1.0,1.3,1.3,1.0,0.4,1.9,11.5,0,0,2.0,Guard
Ricky Council IV,PHI,23,22,6,16,12.5,5.5,1.7,4.2,40.2,0.4,1.6,25.7,1.7,2.0,84.1,0.6,1.5,2.0,0.7,0.4,0.3,0.2,0.8,10.3,1,0,-1.2,Guard
Jonathan Mogbo,TOR,23,32,7,25,17.5,5.4,2.1,4.6,45.6,0.2,0.8,29.2,1.0,1.4,71.7,1.9,2.7,4.6,1.8,0.9,0.8,0.5,1.9,16.6,0,0,-4.1,Forward
Pelle Larsson,MIA,23,18,8,10,16.1,5.4,1.9,3.9,49.3,0.6,1.8,34.4,0.9,1.4,64.0,0.6,1.3,1.8,1.4,0.6,0.6,0.0,2.3,10.8,0,0,1.2,Guard
Lindy Waters III,GSW,27,25,12,13,17.5,5.4,1.9,5.5,34.8,1.3,4.0,32.0,0.2,0.3,85.7,0.5,2.0,2.6,1.3,0.4,0.7,0.2,1.6,12.6,0,0,1.1,Forward
Lonzo Ball,CHI,27,14,7,7,18.2,5.4,1.7,5.1,33.3,1.4,4.3,31.7,0.6,0.7,80.0,0.4,2.7,3.1,3.6,1.1,1.2,0.5,1.4,18.6,0,0,3.0,Guard
Paul Reed,DET,25,18,6,12,11.8,5.3,2.1,3.6,56.9,0.3,0.8,33.3,0.9,1.2,81.0,0.8,1.7,2.5,1.1,0.6,1.3,0.7,1.8,15.4,0,0,2.1,Forward
Vince Williams Jr.,MEM,24,3,1,2,14.9,5.3,2.3,6.3,36.8,0.3,2.7,12.5,0.3,1.3,25.0,1.3,2.3,3.7,3.0,2.3,0.0,0.7,3.0,13.9,0,0,4.7,Guard
Neemias Queta,BOS,25,26,19,7,15.7,5.3,2.2,3.5,63.7,0.0,0.1,0.0,0.8,1.2,73.3,1.7,2.9,4.5,0.7,0.7,0.3,0.9,2.0,14.6,0,0,3.5,Center
Kobe Bufkin,ATL,21,10,6,4,12.4,5.3,1.8,4.7,38.3,0.4,1.9,21.1,1.3,1.8,72.2,0.5,1.6,2.1,1.7,0.8,0.3,0.2,0.9,11.1,0,0,-2.3,Guard
Monté Morris,PHX,29,26,12,14,13.3,5.2,1.8,4.5,40.5,0.6,2.1,29.6,1.0,1.2,83.9,0.3,1.3,1.5,1.8,0.5,0.5,0.1,0.5,11.2,0,0,2.2,Guard
Seth Curry,CHA,34,29,7,22,13.5,5.1,1.9,4.1,45.8,0.9,2.1,41.9,0.4,0.5,85.7,0.4,1.0,1.4,0.4,0.3,0.4,0.2,1.0,9.0,0,0,-1.6,Guard
Matas Buzelis,CHI,20,31,15,16,13.1,5.1,1.8,4.9,36.4,0.8,2.4,33.3,0.7,0.9,78.6,0.5,2.1,2.6,0.5,0.6,0.3,0.8,1.4,11.6,0,0,0.5,Forward
Alondes Williams,DET,25,1,0,1,3.7,5.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.5,0,0,6.0,Guard
Cam Christie,LAC,19,1,0,1,17.8,5.0,2.0,7.0,28.6,1.0,4.0,25.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,13.6,0,0,8.0,Guard
Eric Gordon,PHI,36,19,6,13,16.6,5.0,1.7,4.7,36.0,0.7,2.7,27.5,0.9,1.2,77.3,0.2,0.8,0.9,1.3,0.7,0.7,0.3,0.7,10.1,0,0,-2.1,Guard
JT Thor,CLE,22,5,4,1,5.1,5.0,1.6,2.0,80.0,0.6,0.8,75.0,1.2,1.2,100.0,0.2,0.6,0.8,0.0,0.4,0.4,0.6,0.8,8.6,0,0,-1.8,Forward
Jamal Shead,TOR,22,28,7,21,15.5,5.0,2.0,4.8,42.1,0.7,2.0,33.9,0.3,0.4,75.0,0.2,1.0,1.2,3.3,1.4,0.5,0.1,1.9,12.1,1,0,-3.9,Guard
