Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Position
Damian Lillard,MIL,34,23,12,11,36.3,25.9,7.9,17.7,44.8,3.4,9.3,36.9,6.6,7.2,92.1,0.6,4.0,4.6,7.7,2.9,1.1,0.2,1.9,43.9,7,0,-0.9,Guard
Victor Wembanyama,SAS,20,27,14,13,33.1,25.5,9.1,19.1,47.8,3.4,9.5,35.9,3.8,4.3,88.0,1.9,8.2,10.0,3.8,3.5,1.0,4.0,2.0,54.8,12,1,3.4,Forward-Center
Jalen Brunson,NYK,28,33,23,10,34.9,25.2,8.6,17.8,48.3,2.5,6.2,40.3,5.6,6.8,82.5,0.4,2.5,3.0,7.7,2.4,0.8,0.1,2.2,40.5,7,0,6.3,Guard
Devin Booker,PHX,28,26,14,12,36.6,25.1,8.0,18.2,43.9,2.7,7.7,34.5,6.5,7.2,89.9,1.2,2.5,3.7,6.4,2.3,1.1,0.3,2.2,41.2,3,0,-1.7,Guard
Anthony Edwards,MIN,23,31,17,14,36.0,24.9,8.9,20.1,44.2,4.0,9.8,41.1,3.1,3.8,80.5,0.7,4.9,5.6,4.0,3.1,1.3,0.6,1.9,40.3,1,0,2.2,Guard
Jaylen Brown,BOS,28,27,20,7,35.7,24.9,9.1,19.7,46.1,2.4,7.2,33.5,4.3,5.9,73.4,1.4,4.5,5.9,4.7,2.7,1.4,0.3,2.4,41.2,3,0,8.4,Guard-Forward
Karl-Anthony Towns,NYK,29,31,22,9,34.2,24.7,8.9,16.1,55.0,2.2,4.9,43.8,4.8,5.8,83.3,2.9,10.6,13.5,3.3,2.6,0.8,0.9,3.6,48.5,27,0,7.4,Center-Forward
Cam Thomas,BKN,23,18,7,11,32.9,24.7,7.9,17.5,45.4,2.9,7.4,39.1,5.9,6.8,87.0,0.4,3.0,3.4,3.4,2.8,0.7,0.1,1.9,33.3,0,0,-2.8,Guard
Norman Powell,LAC,31,25,15,10,33.6,24.6,8.6,17.4,49.4,3.8,8.2,45.9,3.7,4.4,84.4,0.3,3.0,3.3,2.5,2.1,1.2,0.2,2.1,34.5,1,0,3.3,Guard
Kyrie Irving,DAL,32,29,19,10,35.5,24.6,9.0,18.5,48.9,3.2,7.2,44.5,3.3,3.7,90.6,1.1,3.4,4.5,5.0,2.2,1.1,0.3,2.1,39.6,0,0,5.6,Guard
Franz Wagner,ORL,23,25,16,9,33.2,24.4,8.8,18.9,46.5,2.0,6.4,32.1,4.8,5.4,88.1,0.9,4.7,5.6,5.7,2.4,1.7,0.5,2.3,43.8,2,0,5.8,Forward
Tyler Herro,MIA,24,30,16,14,35.2,24.0,8.3,17.5,47.6,3.9,9.6,41.0,3.4,4.1,84.4,0.3,5.4,5.7,5.2,2.5,0.7,0.1,1.6,38.7,5,0,1.9,Guard
